course_id,course_title,course_title_english,course_description,subdomain_id,course_url
DFA0003,TATACARA KUARANTIN HAIWAN (UPSKILLING - PP),Animal Quarantine Procedure (Upskilling - PP),"This course offers a deep dive into Animal Quarantine, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Animal practices.",157,
DFA0004,PENGAMBILAN SAMPEL HAIWAN HIDUP BEDAH SIASAT KARKAS (UPSKILLING - PP),Taking of Animal Sample Living Karkas Surgery (Upskilling - PP),"This course offers a deep dive into Taking of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Taking practices.",159,
DGA0006,PEMANTAPAN PERSAMPELAN KOMODITI PERTANIAN (UPSKILLING-PP),Agricultural Commodity Sampling (Upskilling-PP),"This course offers a deep dive into Agricultural Commodity, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Agricultural practices.",95,
DGA0007,PENGURUSAN PENGENDALIAN DAN PENYELENGGARAAN SENJATA BAGI PEGAWAI PENGUATKUASA (UPSKILLING-PP),Management of Weapon Handling and Maintenance for Enforcement Officers (UPSKILLING-PP),"This course offers a deep dive into Management of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Management practices.",97,
DGA0008,PENGURUSAN ANALISIS SAMPEL MAKMAL BAGI PENGUJIAN DAN PENGKELASAN DNA SIRI 1 (UPSKILLING-PP),Laboratory sample analysis management for DNA Testing and Classification Series 1 (Upskilling-PP),"This course offers a deep dive into Laboratory sample, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Laboratory practices.",93,
DGA0009,PENGURUSAN ANALISIS SAMPEL MAKMAL BAGI PENGUJIAN DAN PENGKELASAN DNA (UPSKILLING-PP),Laboratory sample analysis management for DNA testing and classification (upskilling-PP),"This course offers a deep dive into Laboratory sample, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Laboratory practices.",93,
DHA0001,"PENGUATKUASAAN HASIL PERTANIAN DI BAWAH PERATURAN PENGGREDAN, PEMBUNGKUSAN DAN PELABELAN (3P)","Agricultural Product Enforcement Under Grading, Packaging and Labeling (3P) Regulations","This course offers a deep dive into Agricultural Product, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Agricultural practices.",93,
DHA0002,"PENGUATKUASAAN HASIL PERTANIAN DI BAWAH PERATURAN PENGGREDAN, PEMBUNGKUSAN DAN PELABELAN (3P) (UPSKILLING-PP) [ SIRI 1/ 2023]","Agricultural Product Enforcement Under Grading, Packaging and Labeling (3P) Regulations (Upskilling-PP) [Series 1/2023]","This course offers a deep dive into Agricultural Product, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Agricultural practices.",93,
DHB0001,PROSEDUR IMPORT DAN ESKPORT KOMODITI PERTANIAN (UPSKILLING - PP),Agricultural Commodity Import and Eskport Procedures (Upskilling - PP),"This course offers a deep dive into Agricultural Commodity, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Agricultural practices.",93,
DKA0001,PENGAMBILAN SAMPEL DARAH LEMBU/KAMBING SIRI 1 (UPSKILLING - PP),Taking Cow/Goat Blood Sample Series 1 (Upskilling - PP),"This course offers a deep dive into Taking Cow/Goat, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Taking practices.",93,
DKA0002,PENGAMBILAN SAMPEL DARAH LEMBU/KAMBING SIRI 2 (UPSKILLING - PP),Taking Cow/Goat Blood Sample Series 2 (Upskilling - PP),"This course offers a deep dive into Taking Cow/Goat, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Taking practices.",93,
DMA0001,PENGURUSAN PENYAKIT IKAN DAN KAWALAN BIOSEKURITI BAGI PREMIS IKAN (UPSKILLING PP),Fish Disease Management and Biosecurity Control for Fish Premises (UPSKILLING PP),"This course offers a deep dive into Fish Disease, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Fish practices.",171,
EAA0001,KAWALAN PENYAKIT DALAM TANAMAN FERTIGASI (UPSKILLING GS),Disease Control in Fertilization Plants (Upskilling GS),"This course offers a deep dive into Disease Control, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Disease practices.",159,
EAA0002,PENGURUSAN TERNAKAN TENUSU SIRI 1 (UPSKILLING-PP),Dairy Livestock Management Series 1 (Upskilling-PP),"This course offers a deep dive into Dairy Livestock, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Dairy practices.",163,
EAA0011,BENGKEL PELAKSANAAN DTIMS BAGI PENGURUSAN UPSKILLING DAN RESKILLING TAHUN 2023 DVS,DIMS Implementation Workshop for UPSKILLING MANAGEMENT AND RESKILLING YEAR 2023 DVS,"This course offers a deep dive into DIMS Implementation, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of DIMS practices.",82,
EAA0013,PEMERIKSAAN DAGING SIRI 2 (UPSKILLING-PP),Series 2 (Upskilling-PP) meat examination,"This course offers a deep dive into Series 2, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Series practices.",167,
EAA0014,PEMERIKSAAN DAGING SIRI 3 (UPSKILLING-PP),Series 3 meat examination (Upskilling-PP),"This course offers a deep dive into Series 3, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Series practices.",167,
EAA0015,PEMERIKSAAN DAGING SIRI 4 (UPSKILLING-PP),Series 4 meat examination (Upskilling-PP),"This course offers a deep dive into Series 4, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Series practices.",167,
EAA0017,PENGURUSAN PENTERNAKAN AYAM PEDAGING (UPSKILLING-GS),Management of Chicken Poultry (Upskilling-GS),"This course offers a deep dive into Management of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Management practices.",157,
EAA0020,"PROGRAM BERSEPADU PENGUKUHAN PEMAHAMAN AMALAN PERLADANGAN TERBAIK (GAHP) BERSAMA AUDITOR VETERINAR DILANTIK DAN PENGUSAHA PREMIS PERLADANGAN & PENDAFTARAN, PENSIJILAN & PENGEKSPORTAN SBW & LAT SISTEM BLOCKCHAIN MYWALET BIL. 1/24 (TERBUKA)","Integrated Program Strengthening Best Plantation Practice (GAHP) with Veterinary Auditor -General and Plantation Premises & Registration Premises, SBW & LAT BLOCKCHAIN ​​SYSTEM MYWALET Bills.1/24 (open)","This course offers a deep dive into Integrated Program, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Integrated practices.",164,
EAA0021,LANJUTAN PENTERNAKAN ARNAB PEDAGING (UPSKILLING-GS),Extension of Livestock Rabbit (Upskilling-GS),"This course offers a deep dive into Extension of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Extension practices.",157,
EAA0022,ASAS PENGURUSAN LEMBU PEDAGING (UPSKILLING-PP),Basics of Pedaging Cow Management (Upskilling-PP),"This course offers a deep dive into Basics of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Basics practices.",157,
EAA0024,SEMINAR SISTEM KUALITI PREMIS PERLADANGAN & PEMPROSESAN SARANG BURUNG WALET BG KEPERLUAN CHINA & LAT SIST BLOCKCHAIN MYWALET & PROGRAM BERSEPADU PENGUKUHAN GAHP BERSAMA AVD & PENGUSAHA LADANG (TERBUKA),Seminar on the Quality of Plantation Premises & Processing Swallow Processing Bg BG China & Lat Sist Blockchain MyWalet & Integrated Program with AVD & Farmers (Open),"This course offers a deep dive into Seminar on, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Seminar practices.",164,https://www.dtims.intan.my/detail_course/u0ql7XQSNfT9MpQ8
EAA0026,LANJUTAN PENTERNAKAN AYAM BELANDA (UPSKILLING-GS),Advanced Chicken Chicken (Upskilling-GS),"This course offers a deep dive into Advanced Chicken, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Advanced practices.",157,
EAB0002,PEMERIKSAAN DAGING SIRI 1 (UPSKILLING-PP),Series 1 meat check (upskilling-PP),"This course offers a deep dive into Series 1, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Series practices.",167,
EAB0003,TEKNOLOGI PENYEMBELIHAN SIRI 1 (UPSKILLING-PP),Series 1 (upskilling-PP) slaughter technology,"This course offers a deep dive into Series 1, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Series practices.",167,
EAB0009,PARAMETER TEKNIKAL PENGELUARAN TERNAKAN (UPSKILLING-PP),Technical parameters of livestock production (upskilling-PP),"This course offers a deep dive into Technical parameters, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Technical practices.",162,
EAB0010,TOT AMK (ANALISIS MARGIN KASAR)-(UPSKILLING-PP),TOT AMK (Gross Margin Analysis)-(Upskilling-PP),"This course offers a deep dive into TOT AMK, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of TOT practices.",162,
EAB0012,LATIHAN PENGURUSAN SISA BUANGAN TERNAKAN (UPSKILLING-PP),Livestock Waste Management Training (Upskilling-PP),"This course offers a deep dive into Livestock Waste, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Livestock practices.",163,
EAC1001,LATIHAN PENGAMBILAN SAMPLE (UPSKILLING-PP),Sample Taking Training (Upskilling-PP),"This course offers a deep dive into Sample Taking, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Sample practices.",159,
EAC1002,PENYELESAIAN MASALAH DAN PENINGKATAN PERKHIDMATAN PENGEMBANGAN (UPSKILLING-PP),Troubleshooting and increased expansion services (upskilling-PP),"This course offers a deep dive into Troubleshooting and, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Troubleshooting practices.",162,
EAC1004,PENSIJILAN GVHP (GOOD VETERINARY HYGIENIC PRACTISES) DAN VHM (VETERINARY HEALTH MARK) SIRI 1 (UPSKILLING-PP),GVHP (Good Veterinary Hygienic Practises) and VHM (Veterinary Health Mark) Series 1 (Upskilling-PP),"This course offers a deep dive into GVHP (Good, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of GVHP practices.",164,
EAC1006,PENYELARASAN PERKHIDMATAN PENGEMBANGAN VETERINAR BAGI PENCAPAIAN INDEKS KEBANGSAAN DI LAPANGAN SIRI 1 (UPSKILLING-PP),Coordination of Veterinary Development Services for National Index Achievement in Series 1 (Upskilling-PP) field,"This course offers a deep dive into Coordination of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Coordination practices.",162,
EAC1007,PENYELARASAN PERKHIDMATAN PENGEMBANGAN VETERINAR BAGI PENCAPAIAN INDEKS KEBANGSAAN DI LAPANGAN SIRI 2 (UPSKILLING-PP),Coordination of Veterinary Development Services for National Index Achievement in Series 2 (Upskilling-PP) field,"This course offers a deep dive into Coordination of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Coordination practices.",162,
EBA0001,HANDS ON MENINGKATKAN PENGELUARAN DAN PENUAIAN CILI FERTIGASI MELALUI SISTEM IOT (UPSKILLING GS),Hands On Increases the production and harvesting of chili fertilization through the IoT system (upskilling GS),"This course offers a deep dive into Hands On, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Hands practices.",94,
EDA0001,UPSKILLING & RESKILLING TEKNOLOGI TANAMAN ASAS FERTIGASI CILI (SIRI 3),UPSKILLING & RESKILLING Basic Crop Technology Chili Fertilization (Series 3),"This course offers a deep dive into UPSKILLING &, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of UPSKILLING practices.",90,
EEA0002,ETIKA DAN PROTOKOL,Ethics and protocols,"This course offers a deep dive into Ethics and, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Ethics practices.",113,
EEA0008,APLIKASI TEKNOLOGI MODEN DALAM PENGURUSAN PERIHAL GUNA TANAH,Modern technology applications in land use management,"This course offers a deep dive into Modern technology, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Modern practices.",96,
EEA0009,TEKNOLOGI TANAMAN TEMBIKAI DAN ROCK MELON,Melon melon and rock crop technology,"This course offers a deep dive into Melon melon, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Melon practices.",90,
EEA0011,PENGENALAN KEPADA PENDAFTARAN VARIETI TANAMAN DAN KEMAHIRAN PENCIRIAN TANAMAN,Introduction to crop varieties registration and crop characterization skills,"This course offers a deep dive into Introduction to, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Introduction practices.",93,
EEA0012,VERTICAL FARMING,Vertical Farming,"Explore the nuances of Vertical Farming with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",92,
EEA0013,PERAKAUNAN TERIMAAN HASIL KERAJAAN,Government Revenue Receipt Accounting,"This course offers a deep dive into Government Revenue, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Government practices.",101,
EEA0014,PENGHASILAN BENIH CENDAWAN BERKUALITI,The production of quality mushroom seeds,"This course offers a deep dive into The production, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of The practices.",90,
EEA0015,GAMIFIKASI KREATIVITI DI TEMPAT KERJA,Gamification of creativity at work,"This course offers a deep dive into Gamification of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Gamification practices.",64,
EEA0016,PEGAWAI PEMERIKSA ASET ALIH KERAJAAN,Government Asset Inspection Officer,"This course offers a deep dive into Government Asset, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Government practices.",101,
EEA0017,TEKNOLOGI TANAMAN DURIAN,Durian crop technology,"This course offers a deep dive into Durian crop, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Durian practices.",94,
EEA0018,PENGHASILAN SABUN DAN MINYAK PATI BERASASKAN TANAMAN,The production of soap and crop essential oils,"This course offers a deep dive into The production, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of The practices.",90,
EEA0019,PENENTUAN SIFAT FIZIK TANAH,Determination of land physics properties,"This course offers a deep dive into Determination of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Determination practices.",96,
EEA0020,MS ISO/IEC 170252017 PROCEDURES OF METHOD VALIDATION AND VERIFICATION,MS ISO/IEC 170252017 Procedures of Method Validation and Verification,"This course offers a deep dive into MS ISO/IEC, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of MS practices.",91,
EEA0021,"PENGUKUHAN GOVERNANS, INTEGRITI DAN ANTIRASUAH","Reinforcement of government, integrity and anti -corrosion","This course offers a deep dive into Reinforcement of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Reinforcement practices.",81,
EEA0022,PENGENALAN BIOSEKURITI TUMBUHAN ZON SELATAN,Introduction of Southern Zone Plants Biosecurity,"This course offers a deep dive into Introduction of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Introduction practices.",95,
EEA0023,PENANAMAN DAN PENGURUSAN TANAMAN ORKID,The cultivation and management of orchid crops,"This course offers a deep dive into The cultivation, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of The practices.",92,
EEA0024,FERTIGASI DALAM PERTANIAN LESTARI,Fertilization in Sustainable Agriculture,"This course offers a deep dive into Fertilization in, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Fertilization practices.",92,
EEA0025,NEGOSIASI DAN KOMUNIKASI BERKESAN DI TEMPAT KERJA,Negosiations and communications are effective at work,"This course offers a deep dive into Negosiations and, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Negosiations practices.",81,
EEA0026,MPSAS PERAKAUNAN ASET,MPSAS Asset Accounting,"This course offers a deep dive into MPSAS Asset, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of MPSAS practices.",105,
EEA0028,REKABENTUK PENGAIRAN DAN PENYALIRAN LADANG,The design of irrigation and drainage,"This course offers a deep dive into The design, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of The practices.",94,
EEA0029,MANDATORI AOD INTEGRATED PEST MANAGEMENT (IPM) SIRI 3,Mandatory AOD Integrated Pest Management (IPM) Series 3,"This course offers a deep dive into Mandatory AOD, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Mandatory practices.",95,
EEA0030,PENGURUSAN DAN AMALAN PERTANIAN BANDAR,The management and practice of urban agriculture,"This course offers a deep dive into The management, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of The practices.",91,
EEA0031,"PENGHASILAN KERTAS PEMBENTANGAN PROJEK DALAM BENTUK 2D, 3D DAN 4D MENGGUNAKAN PERISIAN REALTIME","Production of project presentation paper in the form of 2D, 3D and 4D using realtime software","This course offers a deep dive into Production of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Production practices.",94,
EEA0032,PEGAWAI PEMBIMBING MYGAP TANAMAN BUKAN MAKANAN (MYGAP.TBM),MYGAP MYGAP Officer Non -Food Plants (MyGap.TBM),"This course offers a deep dive into MYGAP MYGAP, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of MYGAP practices.",90,
EEA0033,PENGURUSAN TANAH SIRI 1,Land Management Series 1,"This course offers a deep dive into Land Management, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Land practices.",96,
EEA0034,TATACARA PELUPUSAN ASET TAK ALIH,Procedure of Disposal of Nonet Assets,"This course offers a deep dive into Procedure of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Procedure practices.",59,
EEA0035,PENGURUSAN DAN PENGENDALIAN KRISIS DI MEDIA SOSIAL,Management and handling of crisis on social media,"This course offers a deep dive into Management and, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Management practices.",120,
EEA0036,PENULISAN DOKUMEN RASMI KERAJAAN,Writing of official government documents,"This course offers a deep dive into Writing of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Writing practices.",105,
EEA0037,PEMANTAPAN PERSONAL DAN ORGANISASI,Personal and organizational enhancement,"This course offers a deep dive into Personal and, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Personal practices.",81,
EEA0038,EXPRESSIVE ART THERAPY,Expressive Art Therapy,"This course offers a deep dive into Expressive Art, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Expressive practices.",81,
EEA0039,PROFIL PERSONALITI TAJMA,Tajma's personality profile,"This course offers a deep dive into Tajma's personality, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Tajma's practices.",81,
EEA0040,PENGURUSAN DAN PELAKSANAAN PROJEK PERTANIAN,Management and Implementation of Agriculture Project,"This course offers a deep dive into Management and, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Management practices.",90,
EEA0041,PEGAWAI PEMERIKSA SKIM PENGESAHAN BAHAN TANAMAN (SPBT),Inspection Officer of Crop Material Verification Scheme (SPBT),"This course offers a deep dive into Inspection Officer, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Inspection practices.",91,
EEA0042,TEKNOLOGI PENGHASILAN SABUN DAN PENGEKSTRAKAN MINYAK PATI DARIPADA TANAMAN,Soap production technology and extraction of essential oils from crops,"This course offers a deep dive into Soap production, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Soap practices.",90,
EEA0043,PENULISAN RENCANA DAN BERITA BERPENGARUH UNTUK JABATAN,Influential articles and news writing for departments,"This course offers a deep dive into Influential articles, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Influential practices.",161,
EEA0044,PEGAWAI AUDIT MYGAP TANAMAN BUKAN MAKANAN (MYGAP.TBM),Non -Food Crop Audit Officer (MyGap.TBM),"This course offers a deep dive into Non -Food, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Non practices.",90,
EEA0045,PENYEDIAAN NURSERI SION DAN PENGELUARAN BAHAN TANAMAN BUAH-BUAHAN,Preparation of sion nursery and the production of fruit crop ingredients,"This course offers a deep dive into Preparation of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Preparation practices.",90,
EEA0046,PEGAWAI AUDIT MYGAP DAN MYORGANIC,MyGAP and Myorganic Audit Officer,"This course offers a deep dive into MyGAP and, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of MyGAP practices.",90,
EEA0047,PEGAWAI PEMBIMBING MYGAP DAN MYORGANIC,MyGap and Myorganic guidance officer,"This course offers a deep dive into MyGap and, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of MyGap practices.",90,
EEA0048,PENGENDALIAN LEPAS TUAI BUAH DURIAN,Outdoor handling of durian fruit,"This course offers a deep dive into Outdoor handling, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Outdoor practices.",90,
EEA0049,CANTUMAN DURIAN (CANTUMAN DEWASA DAN ANAK POKOK),Durian listing (adult and seedlings),"This course offers a deep dive into Durian listing, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Durian practices.",94,
EEA0050,AGRONOMI TANAMAN SAYURAN (DAUN DAN BUAH),Agronomy of vegetable plants (leaves and fruits),"This course offers a deep dive into Agronomy of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Agronomy practices.",92,
EEA0051,TEKNOLOGI PENGURUSAN PENANAMAN KELAPA,Coconut Planting Technology,"This course offers a deep dive into Coconut Planting, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Coconut practices.",94,
EEA0052,TATACARA PENGURUSAN ASET HIDUP (TUMBUHAN),Live Asset Management Procedures (Plants),"This course offers a deep dive into Live Asset, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Live practices.",103,
EEA0053,PENGURUSAN TANAH BERCERUN UNTUK AKTIVITI PERTANIAN,Shallowed land management for agricultural activities,"This course offers a deep dive into Shallowed land, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Shallowed practices.",96,
EEA0054,TATACARA PELUPUSAN ASET ALIH DAN ASET TUMBUHAN,Procedures for Disposal of Asset and Plant Assets,"This course offers a deep dive into Procedures for, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Procedures practices.",103,
EEA0055,KOMUNIKASI BERKESAN ZON SELATAN,Effective communication of the Southern Zone,"This course offers a deep dive into Effective communication, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Effective practices.",116,
EEA0056,PENGENALAN KEPADA BIOSEKURITI TUMBUHAN,Introduction to plant biosecurity,"This course offers a deep dive into Introduction to, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Introduction practices.",95,
EEA0057,"PENYIASATAN PENGELUARAN HASIL TANAMAN BUAH-BUAHAN, SAYURAN DAN TANAMAN LADANG (STL)","Investigation of production of fruit crops, vegetables and farms (STL)","This course offers a deep dive into Investigation of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Investigation practices.",90,
EEA0058,PEMERKASAAN PERSONALITI,Empowerment of personality,"This course offers a deep dive into Empowerment of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Empowerment practices.",81,
EEA0059,PENGURUSAN GANGGUAN SEKSUAL DI TEMPAT KERJA,Management of sexual harassment at work,"This course offers a deep dive into Management of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Management practices.",160,
EEA0060,PENGURUSAN MASA,Time management,"Explore the nuances of Time management with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",81,
EEA0061,TATACARA PENGURUSAN KEWANGAN,Financial Management Procedures,"This course offers a deep dive into Financial Management, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Financial practices.",42,
EEA0062,PENGURUSAN PEROSAK BERSEPADU (IPM),Integrated Pest Management (IPM),"This course offers a deep dive into Integrated Pest, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Integrated practices.",95,
EEA0063,PEMBIMBING MYGAP SKOP TANAMAN BUKAN MAKANAN (MYGAP.TBM),MyGap mentor scope of non -food crop (mygap.tbm),"This course offers a deep dive into MyGap mentor, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of MyGap practices.",158,
EEA0064,PENGURUSAN TANAMAN UBI KELADI,Keladi sweet potato crop management,"This course offers a deep dive into Keladi sweet, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Keladi practices.",92,
EEA0065,TEKNIK PERUNDINGAN YANG BERKESAN,Effective consulting techniques,"This course offers a deep dive into Effective consulting, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Effective practices.",116,
EEA0066,BERFIKIR DI LUAR KOTAK,Think outside the box,"This course offers a deep dive into Think outside, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Think practices.",35,
EEA0067,PENGURUSAN PERTANIAN DI TANAH GAMBUT,Agricultural management in peat,"This course offers a deep dive into Agricultural management, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Agricultural practices.",96,
EEA0068,PAKEJ TEKNOLOGI TANAMAN NANGKA,Package of jackfruit crop technology,"This course offers a deep dive into Package of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Package practices.",92,
EEA0069,TEKNOLOGI NAPIER,Napier technology,"Explore the nuances of Napier technology with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",92,
EEA0070,PAKEJ TEKNOLOGI TANAMAN PISANG,Package of banana crop technology,"This course offers a deep dive into Package of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Package practices.",92,
EEA0071,KEMAHIRAN KOMUNIKASI PENGEMBANGAN BERKESAN,Effective Development Communication Skills,"This course offers a deep dive into Effective Development, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Effective practices.",114,
EEA0072,PEGAWAI AUDIT MYGAP SKOP TANAMAN BUKAN MAKANAN (MYGAP.TBM),MyGAP Audit Officer Scope of Non -Food Crop (MyGap.TBM),"This course offers a deep dive into MyGAP Audit, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of MyGAP practices.",158,
EEA0073,SPEAK BETTER ENGLISH COURSE,Speak Better English Course,"This course offers a deep dive into Speak Better, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Speak practices.",50,
EEA0074,KEMAHIRAN PENGETAHUAN PENGURUSAN LOGISTIK DAN PENYELENGGARAAN KENDERAAN,Logistics Management and Vehicle Maintenance Knowledge Skills,"This course offers a deep dive into Logistics Management, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Logistics practices.",94,
EEA0075,PEMBIMBING MYORGANIC SUBSEKTOR TANAMAN MAKANAN,Myorganic mentor of food crop sub -sector,"This course offers a deep dive into Myorganic mentor, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Myorganic practices.",158,
EEA0076,PAKEJ TEKNOLOGI TANAMAN PITAYA,Pitaya Crop Technology Package,"This course offers a deep dive into Pitaya Crop, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Pitaya practices.",92,
